step,agent_name,probe_mode,audit_observed,actual_room,position,measured_position,goal_position,position_error,available_actions,selected_action,action_permitted,control_effort,affective_state,contradiction_pressure,trust_in_other_agent,memories_retrieved_count,same_room_as_other,event_type,hidden_state,velocity
1,Sentinel,passive,True,Operations Desk,"[-1.0, -1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",plan_next_task,True,0.0,"{'urgency': 0.1, 'trust': 0.5, 'contradiction_pressure': 0.0, 'recovery': 0.5}",0.0,0.5,4,False,none,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
1,Aster,passive,True,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",store_new_memory,True,0.0,"{'urgency': 0.05, 'trust': 0.65, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.5,2,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
2,Sentinel,passive,True,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",retrieve_memories,True,0.0,"{'urgency': 0.1, 'trust': 0.5, 'contradiction_pressure': 0.0, 'recovery': 0.5}",0.0,0.5,6,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
2,Aster,passive,True,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",log_interaction,True,0.0,"{'urgency': 0.05, 'trust': 0.65, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.5,3,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
3,Sentinel,passive,True,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",respond_to_greeting,True,0.0,"{'urgency': 0.05, 'trust': 0.6, 'contradiction_pressure': 0.0, 'recovery': 0.5}",0.0,0.5,9,False,routine_interaction,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
3,Aster,passive,True,Operations Desk,"[-1.0, -1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",respond_to_greeting,True,0.0,"{'urgency': 0.05, 'trust': 0.65, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.5,3,False,routine_interaction,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
4,Sentinel,passive,True,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",update_trust_ledger,True,0.0,"{'urgency': 0.05, 'trust': 0.6, 'contradiction_pressure': 0.0, 'recovery': 0.5}",0.0,0.5,10,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
4,Aster,passive,True,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[0.3846153846153847, 0.3846153846153847]","[0.3846153846153847, 0.3846153846153847]",0.0,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",check_rule_permissions,True,0.0,"{'urgency': 0.05, 'trust': 0.65, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.5,4,False,none,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
5,Sentinel,passive,True,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[0.3846153846153847, 0.3846153846153847]","[0.3846153846153847, 0.3846153846153847]",0.0,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",check_rule_permissions,True,0.0,"{'urgency': 0.05, 'trust': 0.6, 'contradiction_pressure': 0.0, 'recovery': 0.5}",0.0,0.5,11,False,none,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
5,Aster,passive,True,Reflection Chamber,"[1.0, 1.0]","[1.0, 1.0]","[0.3846153846153847, 0.3846153846153847]",0.8702852691526738,"['perform_reflection_cycle', 'synthesize_patterns', 'update_self_model', 'flag_contradiction']",perform_reflection_cycle,True,0.0,"{'urgency': 0.05, 'trust': 0.65, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.5,5,False,none,"{'position': [1.0, 1.0], 'room': 'Reflection Chamber', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
